Record Number, Time, Temperature (F), Pressure (mbar), Humidity (%), Wind Direction (Degrees), Wind Direction (String), Wind Speed (MPH), Wind Gust (MPH), Precipitation (Inches), Shortwave Radiation (W m^(-2)), Avg. RF Watts (W), Avg. RF Watts Frequency (MHz), Peak RF Watts (W), Frequency of RF Watts Peak (MHz), Peak RF Watts Frequency (MHz), Watts of RF Watts Frequency Peak (W), Avg. RF Density (W m^(-2)), Avg. RF Density Frequency (MHz), Peak RF Density (W m^(-2)), Frequency of RF Density Peak (MHz), Peak RF Density Frequency (MHz), Density of RF Density Frequency Peak (W m^(-2)), Avg. Total Density (W m^(-2)), Max Total Density (W m^(-2)), Avg. EF (V/m), Max EF (V/m), Avg. EMF (mG), Max EMF (mG),Station ID
769, 2020-05-24 18:09:43.896105,58.6,1017,36.6,337.5, NNW,0.9,4,0,105,1.2265634E-09,756.8,5E-08,1880,1880,5E-08,1.4084507042E-06,653.5,0.0001,1879,1879,0.0001,2.8169014085E-06,0.0001,1995.7,2264.8,0.4,0.6,1
770, 2020-05-24 18:24:54.864190,57.9,1016.8,35.7,355.6, NNW,1.3,3.9,0,85,2.579859E-10,738.8,2E-09,1881,1881,2E-09,8.4507042254E-06,738.8,0.0002,1881,1881,0.0002,7.0422535211E-06,0.0004,2028,2264.8,0.4,0.6,1
771, 2020-05-24 18:40:05.290215,56.8,1016.7,37.5,335.6, NNW,1.1,5.1,0,25,4.004085E-10,861.6,6E-09,1881,1884,1E-09,2.8169014085E-06,688.2,0.0001,1861,1880,0,9.8591549296E-06,0.0002,2014.6,2264.8,0.4,0.5,1
772, 2020-05-24 18:55:16.006195,56.1,1016.8,38.5,324.6, NW,1.1,5.8,0,15,6.400986E-10,792.5,2E-08,1880,1886,7.94E-10,0,636,0,636,636,0,4.2253521127E-06,0.0001,2001.8,2264.8,0.3,0.6,1
773, 2020-05-24 19:10:26.861979,55.6,1017,39.8,335.5, NNW,1.5,4.9,0,25,2.35662E-10,688.6,2E-09,1877,1887,1E-09,5.6338028169E-06,688.4,0.0002,1877,1887,0.0001,7.0422535211E-06,0.0002,1994.7,2262.4,0.2,0.5,1
774, 2020-05-24 19:25:37.931987,55.2,1017,42.2,337.7, NNW,1.3,5.4,0,15,3.980563E-10,740.2,6E-09,1888,1888,6E-09,2.67605633803E-05,774.9,0.0006,1888,1888,0.0006,1.4084507042E-06,0.0001,2025.9,2264.8,0.1,0.5,1
775, 2020-05-24 19:40:49.527782,54.1,1017,42.9,335.6, NNW,0.4,2.4,0,5,2.980704E-10,723.7,2E-09,1884,1884,2E-09,1.40845070423E-05,758.1,0.0002,1884,1884,0.0002,1.4084507042E-06,0.0001,2043.6,2245.6,0.1,0.3,1
776, 2020-05-24 19:55:59.937017,53.4,1017.1,44,328.6, NNW,0.3,2.1,0,15,2.510282E-10,709,1E-09,1875,1877,1E-09,1.40845070423E-05,709.6,0.0004,1881,1881,0.0004,2.8169014085E-06,0.0001,2002.2,2245.6,0.1,0.5,1
777, 2020-05-24 20:11:11.412211,52.5,1017.1,46.1,335.1, NNW,0.1,1,0,10,3.419437E-10,791.6,2E-09,1873,1884,2E-09,8.4507042254E-06,722.7,0.0002,1884,1884,0.0002,4.2253521127E-06,0.0001,2020.5,2245.6,0,0.2,1
778, 2020-05-24 20:26:22.407783,51.4,1017.1,49,315, NW,0,0.4,0,20,4.110845E-10,774.4,8E-09,1880,1884,1E-09,1.83098591549E-05,705.3,0.0008,1880,1880,0.0008,1.4084507042E-06,0.0001,2032.2,2245.6,0,0.1,1
779, 2020-05-24 20:41:33.797012,50,1017.2,51,315, NW,0,0,0,10,3.412394E-10,756.8,3E-09,1877,1884,2E-09,1.12676056338E-05,722.2,0.0003,1877,1884,0.0002,1.4084507042E-06,0.0001,2020.6,2245.6,0,0.5,1
780, 2020-05-24 20:56:45.666183,49.1,1017.3,55.8,326, NW,0,0.1,0,0,3.556479E-10,757,3E-09,1882,1883,3E-09,2.8169014085E-06,653,0.0002,1842,1842,0.0002,2.8169014085E-06,0.0001,2005,2245.6,0,0.1,1
781, 2020-05-24 21:11:57.565966,47.8,1017.5,57.1,332.5, NNW,0,0,0,0,4.150282E-10,811.6,4E-09,1880,1886,1E-09,1.69014084507E-05,743.1,0.0004,1880,1886,0.0001,0,0,2001.3,2243.2,0,0,1
782, 2020-05-24 21:27:07.932382,46.9,1017.6,60.2,315, NW,0,0,0,0,3.289437E-10,809.1,2E-09,1858,1884,3.98E-10,1.54929577465E-05,808.7,0.0002,1858,1884,0,2.8169014085E-06,0.0001,1985.7,2226.4,0,0,1
783, 2020-05-24 21:42:19.698346,46.2,1017.8,61,314.7, NW,0,0,0,0,2.911972E-10,721.7,3E-09,1876,1876,3E-09,5.6338028169E-06,670.3,0.0003,1876,1876,0.0003,1.12676056338E-05,0.0002,1996.8,2225.2,0,0,1
784, 2020-05-24 21:57:30.246042,45.7,1017.8,62.7,314.7, NW,0,0,0,0,1.7030141E-09,756.2,1E-07,1880,1880,1E-07,0.000152112676056,773.3,0.01,1880,1880,0.01,1.4084507042E-06,0.0001,1980,2226.4,0,0,1
785, 2020-05-24 22:12:41.486706,45.1,1017.9,62.3,314.7, NW,0,0,0,0,2.465775E-10,688.1,2E-09,1872,1872,2E-09,1.97183098592E-05,757.5,0.0003,1880,1882,0.0002,2.8169014085E-06,0.0001,1991,2226.4,0,0,1
786, 2020-05-24 22:27:53.043317,44.8,1017.8,63.6,315, NW,0,0,0,10,3.848169E-10,809,3E-09,1868,1883,7.94E-10,9.8591549296E-06,706,0.0003,1868,1883,0.0001,8.4507042254E-06,0.0003,1990.6,2226.4,0,0,1
787, 2020-05-24 22:43:04.403838,44.1,1018.1,65.6,315, NW,0,0,0,0,1.0872535E-09,842.7,3.2E-08,1880,1880,1E-09,9.43661971831E-05,843.1,0.0032,1880,1880,0.0001,1.4084507042E-06,0.0001,1995.1,2226.4,0,0,1
788, 2020-05-24 22:58:16.763987,43.2,1018.3,67.5,315, NW,0,0,0,0,3.56169E-10,842.7,3E-09,1866,1880,3.98E-10,1.54929577465E-05,810,0.0002,1854,1880,0,4.2253521127E-06,0.0001,1982.1,2207.2,0,0,1
789, 2020-05-24 23:13:28.644247,42.6,1018.3,68.9,315, NW,0,0,0,0,3.411831E-10,757,3E-09,1876,1879,3E-09,1.54929577465E-05,740.6,0.0003,1876,1879,0.0003,0,0,1953.2,2207.2,0,0,1
790, 2020-05-24 23:28:39.504097,42.3,1018.4,69.4,315, NW,0,0,0,0,3.389859E-10,757.7,3E-09,1879,1884,2E-09,4.2253521127E-06,706.1,0.0001,1830,1861,0.0001,1.40845070423E-05,0.0007,1978.1,2215.6,0,0,1
791, 2020-05-24 23:43:50.710593,41.9,1018.3,68,315, NW,0,0,0,0,2.876197E-10,723.6,3E-09,1881,1881,3E-09,1.83098591549E-05,792.1,0.0003,1881,1881,0.0003,5.6338028169E-06,0.0001,1982.3,2214.4,0,0,1
792, 2020-05-24 23:59:03.001581,42.6,1018.4,66.7,322.9, NW,0.1,1.3,0,0,2.499859E-10,706.2,2E-09,1875,1875,1E-09,1.54929577465E-05,775.4,0.0002,1884,1888,0.0001,4.2253521127E-06,0.0002,1960.4,2208.4,0,0,1
793, 2020-05-25 00:14:15.410020,42.3,1018.4,69.2,292.2, WNW,0.1,1,0,0,2.725352E-10,705.3,3E-09,1877,1877,3E-09,1.12676056338E-05,722.9,0.0002,1873,1876,0.0002,0,0,1948.3,2224,0,0,1
794, 2020-05-25 00:29:26.191303,41.4,1018.5,71.3,271.2, W,0,0.1,0,0,2.99831E-10,724.6,3E-09,1884,1884,3E-09,2.53521126761E-05,861.2,0.0003,1858,1884,0.0003,1.4084507042E-06,0.0001,1981.7,2207.2,0,0,1
795, 2020-05-25 00:44:38.146505,40.5,1018.7,73.1,270.6, W,0,0.1,0,0,3.463521E-10,723.1,4E-09,1883,1883,4E-09,2.39436619718E-05,808.8,0.0004,1883,1883,0.0004,1.4084507042E-06,0.0001,1941.6,2204.8,0,0,1
796, 2020-05-25 00:59:50.713616,39.6,1018.6,74.2,270.6, W,0,0,0,0,2.469296E-10,703.9,2E-09,1863,1863,2E-09,1.40845070423E-05,738.9,0.0005,1880,1880,0.0005,4.2253521127E-06,0.0001,1925.8,2188,0,0,1
797, 2020-05-25 01:15:02.033319,39.2,1018.7,74.9,316.5, NW,0,0.1,0,0,3.674225E-10,811.1,2E-09,1881,1886,2E-09,9.8591549296E-06,741.2,0.0002,1869,1886,0.0002,4.2253521127E-06,0.0001,1930.9,2207.2,0,0,1
798, 2020-05-25 01:30:13.181683,39,1018.6,75.1,304.8, NW,0,0.1,0,0,2.749296E-10,741.8,2E-09,1873,1876,3.16E-10,1.54929577465E-05,794.2,0.0002,1873,1876,0,1.4084507042E-06,0.0001,1944.1,2204.8,0,0,1
799, 2020-05-25 01:45:24.482363,38.8,1018.6,75.1,322.8, NW,0,0,0,0,4.023803E-10,861.7,3E-09,1874,1881,1E-09,3.23943661972E-05,861.9,0.0003,1874,1888,0.0002,1.4084507042E-06,0.0001,1943.8,2204.8,0,0,1
800, 2020-05-25 02:00:36.522680,39.4,1018.4,73.7,346, NNW,0.2,1.9,0,0,2.87169E-10,758.7,3E-09,1869,1881,1E-09,1.12676056338E-05,742.5,0.0003,1869,1881,0.0001,7.0422535211E-06,0.0003,1935.2,2207.2,0,0,1
801, 2020-05-25 02:15:48.742811,39,1018.8,75.4,328.9, NNW,0,1.3,0,0,3.301831E-10,793.2,4E-09,1878,1878,6.31E-10,1.97183098592E-05,794.2,0.0004,1878,1882,0.0002,5.6338028169E-06,0.0001,1965.6,2207.2,0,0,1
802, 2020-05-25 02:31:01.104133,38.1,1019,77.1,314.7, NW,0,0,0,0,3.940282E-10,759.2,8E-09,1880,1880,8E-09,1.2676056338E-05,742.2,0.0003,1879,1879,0.0003,2.8169014085E-06,0.0001,1961.8,2212,0,0,1
803, 2020-05-25 02:46:13.627420,37,1018.8,77.9,314.4, NW,0,0,0,0,4.20338E-10,811.5,5E-09,1880,1884,2E-09,2.95774647887E-05,828.7,0.0005,1880,1884,0.0002,2.8169014085E-06,0.0002,1961.5,2207.2,0,0,1
804, 2020-05-25 03:01:25.730163,36.5,1018.9,79.1,315, NW,0,0,0,0,2.929859E-10,726.4,3E-09,1859,1875,3E-09,8.4507042254E-06,726.4,0.0003,1875,1875,0.0003,8.4507042254E-06,0.0002,1913.1,2207.2,0,0,1
805, 2020-05-25 03:16:35.531196,36.1,1018.9,79.8,315, NW,0,0,0,0,3.596901E-10,745.5,3E-09,1884,1884,3E-09,4.2253521127E-06,675.3,0.0002,1871,1871,0.0002,5.6338028169E-06,0.0001,1964.6,2204.8,0,0,1
806, 2020-05-25 03:31:48.865467,36,1018.9,80.6,315, NW,0,0,0,0,2.868169E-10,710.6,3E-09,1866,1866,3E-09,9.8591549296E-06,693.4,0.0003,1858,1866,0.0003,7.0422535211E-06,0.0001,1939.1,2207.2,0,0,1
807, 2020-05-25 03:47:00.988544,36.7,1018.8,76.9,358.2, NNW,0.2,1.6,0,5,3.397606E-10,728.5,5E-09,1881,1881,5E-09,9.8591549296E-06,710.4,0.0003,1858,1871,0,1.4084507042E-06,0.0001,1955.4,2214.4,0,0,1
808, 2020-05-25 04:02:11.697956,36.5,1018.9,78.5,0, N,0,0.4,0,0,3.127746E-10,777.3,2E-09,1881,1881,2E-09,1.54929577465E-05,778.8,0.0002,1881,1881,0.0002,4.2253521127E-06,0.0001,1926.9,2196.4,0,0,1
809, 2020-05-25 04:17:24.689701,36.1,1018.9,80.1,0, N,0,0,0,0,1.2727465E-09,797.8,5E-08,1882,1882,5E-08,0.000118309859155,780.9,0.005,1882,1882,0.005,1.4084507042E-06,0.0001,1969.4,2207.2,0,0,1
810, 2020-05-25 04:32:36.417363,35.4,1019.1,80.7,0, N,0,0,0,0,6.287606E-10,901.1,8E-09,1880,1884,2E-09,2.53521126761E-05,815.9,0.0006,1880,1884,0.0002,4.2253521127E-06,0.0001,1965.2,2207.2,0,0,1
811, 2020-05-25 04:47:48.382400,34.7,1018.9,81.6,0, N,0,0,0,0,2.491549E-10,691.5,3E-09,1866,1866,3E-09,1.83098591549E-05,726.3,0.0004,1878,1885,0.0002,5.6338028169E-06,0.0001,1956.9,2207.2,0,0,1
812, 2020-05-25 05:03:00.287300,35.1,1019,82.1,357, NNW,0.1,2.2,0,0,3.845775E-10,764,6E-09,1880,1880,6E-09,2.11267605634E-05,765.4,0.0006,1880,1880,0.0006,5.6338028169E-06,0.0002,1951.2,2204.8,0,0,1
813, 2020-05-25 05:18:01.408244,36,1018.9,79.9,295.3, WNW,0.2,1.6,0,0,3.356571E-10,765.3,3E-09,1880,1884,3E-09,1.57142857143E-05,761.4,0.0003,1880,1884,0.0003,5.7142857143E-06,0.0003,1951,2207.2,0,0,1
814, 2020-05-25 05:33:14.702917,36.9,1018.9,78.5,279.7, W,0.4,3.1,0,0,3.386338E-10,781.9,3E-09,1869,1884,1E-09,0.000245070422535,781.1,0.0158,1880,1880,0.0158,7.0422535211E-06,0.0002,1986.5,2214.4,0,0,1
815, 2020-05-25 05:48:26.898777,36.9,1019.1,80.6,334.2, NNW,0.3,2.2,0,0,4.771549E-10,813.5,8E-09,1879,1879,8E-09,2.11267605634E-05,779.1,0.0008,1879,1882,0.0001,4.2253521127E-06,0.0002,1950.9,2214.4,0,0,1
816, 2020-05-25 06:03:40.229366,36.1,1019.1,81,277.7, W,0,0.6,0,0,5.727746E-10,795.8,1.3E-08,1877,1884,3E-09,2.81690140845E-05,813.2,0.0003,1871,1884,0.0003,7.0422535211E-06,0.0002,1958.5,2207.2,0,0,1
817, 2020-05-25 06:18:50.957583,36,1019.1,84.3,346.9, NNW,0.4,1.9,0,0,3.562535E-10,780,3E-09,1864,1887,7.94E-10,1.2676056338E-05,745.4,0.0003,1864,1866,0.0003,1.4084507042E-06,0.0001,1979.8,2207.2,0,0,1
818, 2020-05-25 06:34:03.407917,36.1,1019.1,85.2,355.5, NNW,0.7,2.2,0,10,3.365352E-10,745.8,3E-09,1874,1888,3E-09,9.8591549296E-06,710.7,0.0003,1874,1874,0.0003,4.2253521127E-06,0.0001,1977.8,2214.4,0,0,1
819, 2020-05-25 06:49:15.481642,36.5,1019.3,82.8,326.6, NNW,0,0.4,0,35,3.894085E-10,782.1,4E-09,1884,1884,4E-09,4.22535211268E-05,835.6,0.0013,1884,1884,0.0013,4.2253521127E-06,0.0001,1976.4,2224,0,0,1
820, 2020-05-25 07:04:28.846652,37.6,1019.4,82.1,314.4, NW,0,0.6,0,50,4.15493E-10,815.8,4E-09,1882,1889,5.01E-10,1.54929577465E-05,763.1,0.0004,1882,1887,0.0002,4.2253521127E-06,0.0001,1969.1,2224,0,0,1
821, 2020-05-25 07:19:40.267321,39,1019.7,79.8,264.2, W,0.2,1.2,0,70,3.816761E-10,744.4,8E-09,1888,1888,8E-09,3.0985915493E-05,812.1,0.0008,1888,1888,0.0008,4.2253521127E-06,0.0001,1987.1,2226.4,0,0,1
822, 2020-05-25 07:34:52.825855,40.6,1019.5,77.5,231.9, SW,0.1,1,0,80,4.09338E-10,795.5,4E-09,1866,1881,3E-09,1.83098591549E-05,793.8,0.0003,1873,1873,0.0003,2.8169014085E-06,0.0001,2002.9,2233.6,0,0,1
823, 2020-05-25 07:50:04.084374,43,1019.5,74.9,250, WSW,0.3,2.1,0,200,3.975352E-10,690.5,1.3E-08,1880,1887,1E-09,2.53521126761E-05,727,0.0013,1880,1887,0.0001,5.6338028169E-06,0.0001,1969.8,2226.4,0,0,1
824, 2020-05-25 08:05:14.841208,45,1019.6,72.3,292.8, WNW,0.7,2.4,0,355,4.170845E-10,827.5,3E-09,1863,1884,2E-09,2.11267605634E-05,809.6,0.0003,1851,1872,0.0002,2.8169014085E-06,0.0001,2000.1,2231.2,0,0,1
825, 2020-05-25 08:20:27.334007,46.6,1019.6,67.9,339.3, NNW,0.5,2.2,0,290,2.497887E-10,704.2,2E-09,1877,1877,2E-09,5.6338028169E-06,704.2,0.0002,1877,1877,0.0002,2.8169014085E-06,0.0001,2007.8,2245.6,0,0,1
826, 2020-05-25 08:35:38.763049,48.9,1019.6,63.2,351.2, NNW,0.7,2.7,0,480,2.911268E-10,722.1,2E-09,1858,1880,2E-09,7.0422535211E-06,705.8,0.0002,1858,1881,0.0001,8.4507042254E-06,0.0002,2025.5,2245.6,0,0,1
827, 2020-05-25 08:50:50.131554,50.9,1019.6,57.3,358.4, NNW,0.8,2.4,0,550,2.523944E-10,705.8,2E-09,1878,1881,5.01E-10,2.8169014085E-06,670.8,0.0001,1842,1874,0.0001,1.4084507042E-06,0.0001,2012.6,2262.4,0,0.2,1
828, 2020-05-25 09:06:01.234454,52.7,1019.4,56.6,281.2, W,0.8,3.4,0,560,3.35493E-10,826,2E-09,1869,1884,1E-09,2.11267605634E-05,860.5,0.0002,1874,1884,0.0001,5.6338028169E-06,0.0002,2039.3,2264.8,0.2,0.6,1
829, 2020-05-25 09:21:11.787213,54.3,1019.5,57.1,334.3, NNW,1.1,3.3,0,125,3.304648E-10,809.2,2E-09,1871,1884,1E-09,1.2676056338E-05,774.8,0.0002,1871,1886,0.0001,5.6338028169E-06,0.0001,2041.4,2264.8,0.4,0.6,1
830, 2020-05-25 09:36:22.532728,56.1,1019.6,53,344.6, NNW,0.8,3,0,655,2.453521E-10,722.1,1E-09,1854,1880,7.94E-10,1.12676056338E-05,774,0.0002,1879,1880,0.0001,1.54929577465E-05,0.0009,2019.7,2264.8,0.6,0.8,1
831, 2020-05-25 09:51:33.520427,57.9,1019.6,50.5,354.7, NNW,1.2,3.7,0,200,2.290563E-10,704.8,1E-09,1871,1875,1E-09,5.6338028169E-06,687.6,0.0002,1859,1879,0.0001,1.40845070423E-05,0.0002,2012.4,2266,0.6,0.7,1
832, 2020-05-25 10:06:44.517237,58.6,1019.6,47.1,327.7, NNW,1.1,3.6,0,105,3.195352E-10,792.2,2E-09,1873,1881,2E-09,1.12676056338E-05,740.4,0.0002,1873,1881,0.0002,4.2253521127E-06,0.0001,2045.4,2264.8,0.6,1.1,1
833, 2020-05-25 10:21:55.185260,59.2,1019.5,50,314.6, NW,1.2,2.8,0,370,2.745775E-10,756.4,2E-09,1862,1881,6.31E-10,1.97183098592E-05,844.3,0.0002,1875,1886,0.0001,2.8169014085E-06,0.0001,2048.6,2264.8,0.8,0.9,1
834, 2020-05-25 10:37:05.790440,61,1019.3,46,342.3, NNW,1.1,4.3,0,830,3.207465E-10,843.7,1E-09,1873,1878,1E-09,8.4507042254E-06,739.7,0.0001,1844,1878,0.0001,4.2253521127E-06,0.0001,2040.8,2264.8,0.7,0.9,1
835, 2020-05-25 10:52:16.817548,63,1019.3,42.8,353.9, NNW,1.1,2.8,0,675,4.236761E-10,862.4,3E-09,1884,1887,1E-09,1.54929577465E-05,775.1,0.0003,1881,1881,0.0003,1.4084507042E-06,0.0001,2036.2,2264.8,0.7,0.8,1
836, 2020-05-25 11:07:27.557301,63.1,1019.3,40.9,15.2, NNE,1.9,4.9,0,415,2.800563E-10,706.1,4E-09,1880,1880,4E-09,2.67605633803E-05,861.8,0.0004,1880,1880,0.0004,2.8169014085E-06,0.0001,2029.1,2264.8,0.7,0.9,1
837, 2020-05-25 11:22:39.302505,65.5,1019.1,39.9,345.5, NNW,1.1,3.1,0,935,2.601408E-10,722.5,2E-09,1860,1879,1E-09,1.2676056338E-05,773.9,0.0002,1860,1879,0.0001,1.4084507042E-06,0.0001,2014.3,2281.6,0.8,1,1
838, 2020-05-25 11:37:50.201057,66.7,1019.1,39.2,334.7, NNW,1,2.8,0,785,2.919859E-10,809.2,1E-09,1856,1884,1E-09,1.40845070423E-05,809.2,0.0001,1856,1884,0.0001,2.8169014085E-06,0.0001,2057.8,2281.6,0.9,1.1,1
839, 2020-05-25 11:53:01.496584,69.4,1019,36.7,316.7, NW,0.4,2.2,0,850,3.140704E-10,791.1,3E-09,1878,1879,6.31E-10,1.54929577465E-05,791.1,0.0003,1878,1879,0.0001,0,0,2042,2281.6,1,1.4,1
840, 2020-05-25 12:08:12.387252,70.5,1018.7,32.6,311.1, NW,0.7,1.8,0,320,3.684789E-10,774.8,5E-09,1884,1888,3.98E-10,9.8591549296E-06,774.1,0.0002,1858,1888,0,5.6338028169E-06,0.0001,2032.4,2284,1.3,1.5,1
841, 2020-05-25 12:23:23.018993,71.1,1018.8,33.1,309.3, NW,0.7,1.5,0,670,1.804366E-10,653,2.51E-10,636,1843,2E-10,1.69014084507E-05,877.4,0.0002,1854,1887,0.0001,5.6338028169E-06,0.0001,2062.5,2281.6,1.4,1.7,1
842, 2020-05-25 12:38:33.829257,71.8,1018.5,30.5,310.7, NW,1.1,4,0,305,2.692676E-10,825.8,1E-09,1861,1887,2E-10,4.2253521127E-06,722,0.0001,1861,1887,0,2.8169014085E-06,0.0001,2048.4,2281.6,1.5,1.7,1
843, 2020-05-25 12:53:45.935888,74.7,1018.4,30.1,291, WNW,1,3.7,0,1065,2.623803E-10,739.1,2E-09,1856,1870,6.31E-10,1.2676056338E-05,756.3,0.0002,1856,1870,0.0001,1.2676056338E-05,0.0006,2033.2,2284,1.6,1.7,1
844, 2020-05-25 13:08:57.647810,76.3,1018.4,26.6,304.8, NW,1.1,3.1,0,1080,2.257042E-10,722.3,1E-09,1882,1883,1E-09,8.4507042254E-06,739,0.0001,1882,1882,0.0001,1.97183098592E-05,0.0007,2062.2,2291.2,1.7,1.9,1
845, 2020-05-25 13:24:10.284899,77.5,1018.3,25.5,308.5, NW,1.2,3.9,0,1080,3.613662E-10,790.4,8E-09,1880,1886,1E-09,1.40845070423E-05,688.3,0.0008,1880,1886,0.0001,0.000111267605634,0.0007,2018.8,2286.4,1.8,2,1
846, 2020-05-25 13:39:23.523883,78.6,1018.2,20.3,322.9, NW,1.2,4,0,1075,2.579577E-10,739.8,3E-09,1888,1888,3E-09,1.12676056338E-05,740.1,0.0003,1888,1888,0.0003,0.000130985915493,0.0007,2057.8,2293.6,2,2.1,1
847, 2020-05-25 13:54:36.157916,79.7,1018,20.7,300.4, WNW,1.1,3.1,0,1070,2.223099E-10,667.3,4E-09,1880,1880,7.94E-10,5.6338028169E-06,735.2,0.0001,1845,1884,0.0001,8.02816901408E-05,0.0007,2050.1,2300.8,2.1,2.2,1
848, 2020-05-25 14:09:48.757579,79.7,1017.9,20.3,272.6, W,1.5,3.4,0,1060,2.182817E-10,766.5,2E-09,1876,1881,1E-09,1.12676056338E-05,767.8,0.0002,1876,1881,0.0001,2.81690140845E-05,0.0007,2046.5,2291.2,2.2,2.4,1
849, 2020-05-25 14:25:01.642135,80.6,1017.8,18.5,304.2, NW,1,3.1,0,1030,1.720986E-10,702,7.94E-10,1880,1880,7.94E-10,5.6338028169E-06,753.5,0.0001,1836,1880,0.0001,2.81690140845E-05,0.0006,2016.6,2300.8,2.3,2.4,1
850, 2020-05-25 14:40:14.583887,80.6,1017.7,17.3,330.1, NNW,1.3,5.5,0,1015,1.486901E-10,650.1,5.01E-10,1880,1880,5.01E-10,1.54929577465E-05,823.5,0.0002,1878,1885,0.0001,3.80281690141E-05,0.0007,2007.3,2273.2,2.3,2.4,1
851, 2020-05-25 14:55:15.418042,79.3,1017.6,17.5,320.2, NW,1.7,5.5,0,965,1.857E-10,719.3,1E-09,1872,1876,7.94E-10,2.8571428571E-06,668.4,0.0001,1872,1872,0.0001,5.7142857143E-06,0.0002,2034,2300.8,2.3,2.5,1
852, 2020-05-25 15:10:28.203664,78.1,1017.6,19.2,274, W,1.7,3.4,0,965,2.496479E-10,806.6,2E-09,1860,1881,5.01E-10,1.4084507042E-06,650.7,0.0001,1851,1851,0.0001,8.4507042254E-06,0.0004,2028.7,2291.2,2.3,2.4,1
853, 2020-05-25 15:25:41.341827,72.9,1017.4,22.3,252.8, WSW,1.4,3.4,0,120,2.52662E-10,806.8,2E-09,1857,1883,1E-09,1.40845070423E-05,804.7,0.0002,1857,1883,0.0001,2.8169014085E-06,0.0001,2040.3,2293.6,2.3,2.5,1
854, 2020-05-25 15:40:42.003687,69.1,1017.2,26.9,259.5, W,1.3,3,0,125,1.869714E-10,681.1,2E-09,1859,1886,1E-09,7.1428571429E-06,699,0.0002,1859,1886,0.0001,1.4285714286E-06,0.0001,2008.4,2291.2,2.2,2.3,1
855, 2020-05-25 15:55:55.124565,67.1,1017,28.6,298.8, WNW,0.9,2.7,0,75,1.611549E-10,635,2E-10,636,636,1.26E-10,0,635.3,0,636,636,0,1.4084507042E-06,0.0001,2024.7,2272,2,2.3,1
856, 2020-05-25 16:11:07.015092,66,1017,31.2,324.2, NW,0.9,2.4,0,65,7.083803E-10,775.3,2.5E-08,1879,1885,3.98E-10,5.49295774648E-05,775.3,0.0025,1879,1885,0,2.8169014085E-06,0.0002,2036.8,2281.6,1.7,1.9,1
857, 2020-05-25 16:26:18.443898,65.5,1016.8,30.1,306.9, NW,1.1,5.1,0,55,2.364789E-10,739.4,1E-09,1875,1879,1E-09,7.0422535211E-06,756.2,0.0001,1847,1881,0.0001,1.4084507042E-06,0.0001,2038.6,2272,1.5,1.7,1
858, 2020-05-25 16:41:29.456841,65.1,1016.7,32.7,304.5, NW,1.4,3.9,0,60,4.584366E-10,809.3,8E-09,1880,1881,1E-09,3.52112676056E-05,877.6,0.0008,1880,1881,0.0001,1.4084507042E-06,0.0001,1988.5,2249.2,1.3,1.6,1
859, 2020-05-25 16:56:41.538538,64.9,1016.8,33.9,295.2, WNW,1.1,3.6,0,55,2.948732E-10,740.8,2E-09,1859,1884,2E-09,1.69014084507E-05,757.8,0.0005,1880,1884,0.0002,0,0,2009.9,2264.8,1.2,1.4,1
860, 2020-05-25 17:11:53.637166,64.4,1016.7,32.6,261.7, W,1,4.9,0,40,2.290845E-10,667.5,2E-09,1864,1868,7.94E-10,7.0422535211E-06,701.8,0.0002,1864,1884,0.0001,5.6338028169E-06,0.0002,2001.4,2264.8,1,1.3,1
861, 2020-05-25 17:27:05.260030,64,1016.6,33.2,309.9, NW,0.7,3.9,0,40,3.020704E-10,791.8,2E-09,1848,1885,1E-09,2.11267605634E-05,826.8,0.0003,1883,1885,0.0001,4.2253521127E-06,0.0001,2021.6,2249.2,1,1.1,1
862, 2020-05-25 17:42:16.523740,64.4,1016.6,34.6,321.9, NW,0.7,3.3,0,70,2.362817E-10,739.1,1E-09,1851,1887,1E-09,5.6338028169E-06,739.2,0.0001,1865,1887,0.0001,2.8169014085E-06,0.0001,2031.3,2245.6,0.9,1.2,1
863, 2020-05-25 17:57:27.903038,64.8,1016.6,33.4,250.3, WSW,0.9,2.7,0,55,2.573521E-10,738.9,2E-09,1860,1875,7.94E-10,1.83098591549E-05,807.7,0.0002,1858,1882,0.0002,0,0,1982.6,2254,0.9,1.1,1
864, 2020-05-25 18:12:39.248673,64,1016.4,32.9,313.7, NW,0.4,1.9,0,40,2.29831E-10,689.9,1E-09,1841,1869,1E-09,1.97183098592E-05,724.4,0.0008,1881,1881,0.0008,0,0,1975,2262.4,0.8,1,1
865, 2020-05-25 18:27:50.838679,64,1016.3,34.9,301.4, WNW,0.5,1.8,0,60,3.064789E-10,756.4,2E-09,1863,1879,7.94E-10,1.69014084507E-05,740.2,0.0003,1882,1882,0.0003,0,0,2005.8,2262.4,0.8,0.9,1
866, 2020-05-25 18:43:02.127220,64.2,1016.1,34.8,317.9, NW,0.7,2.2,0,55,3.111408E-10,719.4,3E-09,1873,1873,3E-09,1.69014084507E-05,773.8,0.0003,1873,1873,0.0003,0,0,1994.1,2245.6,0.8,1,1
